Scope1,Absolute Time
-0.484573,3568277520.901594
-0.484573,3568277520.911593
-0.484573,3568277520.921594
-0.484573,3568277520.931594
-0.484573,3568277520.941594
-0.484573,3568277520.951594
-0.484573,3568277520.961594
-0.484573,3568277520.971595
-0.494888,3568277520.981596
-0.494888,3568277520.991592
-0.494888,3568277521.001596
-0.505173,3568277521.011596
-0.525803,3568277521.021596
-0.525803,3568277521.031597
-0.546434,3568277521.041597
-0.546434,3568277521.051597
-0.546434,3568277521.061598
-0.546434,3568277521.071598
-0.546434,3568277521.081598
-0.536119,3568277521.091596
-0.525803,3568277521.101599
-0.515488,3568277521.111598
-0.494888,3568277521.121600
-0.453627,3568277521.131599
-0.391766,3568277521.141600
-0.391766,3568277521.151600
-0.350536,3568277521.161601
-0.298990,3568277521.171601
-0.268075,3568277521.181601
-0.237129,3568277521.191598
-0.206214,3568277521.201602
-0.206214,3568277521.211601
-0.164983,3568277521.221603
-0.144353,3568277521.231602
-0.103122,3568277521.241603
-0.082492,3568277521.251603
-0.072176,3568277521.261603
-0.041261,3568277521.271604
-0.041261,3568277521.281605
-0.020631,3568277521.291600
0.000000,3568277521.301604
0.000000,3568277521.311604
0.000000,3568277521.321605
0.000000,3568277521.331606
0.000000,3568277521.341607
0.000000,3568277521.351605
0.000000,3568277521.361607
0.000000,3568277521.371606
0.000000,3568277521.381607
0.000000,3568277521.391603
0.000000,3568277521.401608
0.000000,3568277521.411607
0.000000,3568277521.421608
0.000000,3568277521.431607
0.000000,3568277521.441609
0.000000,3568277521.451609
0.000000,3568277521.461609
0.000000,3568277521.471609
0.000000,3568277521.481611
0.020600,3568277521.491606
0.041231,3568277521.501609
0.061831,3568277521.511610
0.082461,3568277521.521611
0.082461,3568277521.531611
0.103092,3568277521.541611
0.103092,3568277521.551611
0.103092,3568277521.561612
0.113376,3568277521.571611
0.113376,3568277521.581613
0.113376,3568277521.591610
0.113376,3568277521.601613
0.113376,3568277521.611613
0.113376,3568277521.621613
0.113376,3568277521.631614
0.113376,3568277521.641613
0.113376,3568277521.651614
0.113376,3568277521.661614
0.113376,3568277521.671614
0.113376,3568277521.681615
0.113376,3568277521.691612
0.113376,3568277521.701617
0.113376,3568277521.711615
0.113376,3568277521.721616
0.113376,3568277521.731616
0.123692,3568277521.741616
0.123692,3568277521.751617
0.134007,3568277521.761618
0.144322,3568277521.771618
0.144322,3568277521.781618
0.164953,3568277521.791615
0.175237,3568277521.801618
0.195868,3568277521.811618
0.226783,3568277521.821620
0.247414,3568277521.831619
0.247414,3568277521.841620
0.268044,3568277521.851619
0.268044,3568277521.861620
0.278329,3568277521.871621
0.288644,3568277521.881621
0.288644,3568277521.891618
0.288644,3568277521.901621
0.288644,3568277521.911621
0.298959,3568277521.921622
0.309275,3568277521.931621
0.309275,3568277521.941623
0.319590,3568277521.951622
0.329905,3568277521.961622
0.340190,3568277521.971623
0.340190,3568277521.981624
0.350505,3568277521.991621
0.360820,3568277522.001625
0.360820,3568277522.011624
0.371136,3568277522.021625
0.381451,3568277522.031625
0.391736,3568277522.041625
0.412366,3568277522.051625
0.412366,3568277522.061626
0.422681,3568277522.071625
0.432997,3568277522.081625
0.443312,3568277522.091623
0.443312,3568277522.101627
0.432997,3568277522.111627
0.432997,3568277522.121629
0.422681,3568277522.131627
0.412366,3568277522.141628
0.412366,3568277522.151628
0.381451,3568277522.161629
0.381451,3568277522.171629
0.371136,3568277522.181629
0.360820,3568277522.191626
0.371136,3568277522.201629
0.381451,3568277522.211630
0.381451,3568277522.221630
0.412366,3568277522.231630
0.432997,3568277522.241632
0.432997,3568277522.251631
0.453597,3568277522.261631
0.484542,3568277522.271631
0.494858,3568277522.281633
0.494858,3568277522.291629
0.494858,3568277522.301634
0.494858,3568277522.311634
0.484542,3568277522.321633
